timestamp;AssetsCurrent;LiabilitiesCurrent;Liabilities;InventoryNet;SalesRevenueNet;Revenues;CostOfGoodsAndServicesSold;OperatingIncomeLoss;NetIncomeLoss;StockholdersEquity;InterestExpense;Assets;AccountsReceivableNetCurrent;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;EarningsPerShareBasic;stock_price
2008-09-27;32311000000;14092000000;18542000000;509000000;;;;;;21030000000;;39572000000;2422000000;;;3.872174024581909
2009-06-27;35170000000;16661000000;22252000000;380000000;30698000000.0;;17141000000.0;5465000000.0;4039000000.0;25888000000;;48140000000;2686000000;;4.53;4.300940036773682
2009-09-26;31555000000;11506000000;15861000000;455000000;23190500000.0;;13206500000.0;5095000000.0;3708500000.0;31640000000;;47501000000;3361000000;;4.135;5.506614685058594
2009-12-26;33332000000;13097000000;18158000000;576000000;15683000000.0;;9272000000.0;4725000000.0;3378000000.0;35768000000;;53926000000;3090000000;;3.74;6.311909198760986
2010-03-27;32336000000;12229000000;17709000000;638000000;29182000000.0;;17146000000.0;8704000000.0;6452000000.0;39348000000;;57057000000;2886000000;;7.12;6.971966743469238
2010-06-26;36033000000;15612000000;21614000000;942000000;44882000000.0;;26710000000.0;12938000000.0;9705000000.0;43111000000;;64725000000;3447000000;;10.69;8.052939414978027
2010-09-25;41678000000;20722000000;27392000000;1051000000;35811500000.0;;21576500000.0;10382500000.0;7854500000.0;47791000000;;75183000000;5510000000;;8.61;8.826525688171387
2010-12-25;43927000000;23795000000;32076000000;885000000;26741000000.0;;16443000000.0;7827000000.0;6004000000.0;54666000000;;86742000000;6027000000;;6.53;9.77101993560791
2011-03-26;46997000000;24327000000;33427000000;930000000;51408000000.0;;30892000000.0;15701000000.0;11991000000.0;61477000000;;94904000000;5798000000;;13.02;10.614660263061523
2011-06-25;46898000000;26859000000;37415000000;889000000;79979000000.0;;47541000000.0;25080000000.0;19299000000.0;69343000000;;106758000000;6102000000;;20.91;9.85405158996582
2011-09-24;44988000000;27970000000;39756000000;776000000;63156000000.0;;36585500000.0;21210000000.0;16181500000.0;76615000000;;116371000000;5369000000;;17.47;12.207736015319824
2011-12-31;54771000000;34607000000;48627000000;1236000000;46333000000.0;;25630000000.0;17340000000.0;13064000000.0;90054000000;;138681000000;8930000000;;14.03;12.228870391845703
2012-03-31;50712000000;32036000000;48436000000;1102000000;85519000000.0;;46252000000.0;32724000000.0;24686000000.0;102498000000;;150934000000;7042000000;;26.48;18.10325813293457
2012-06-30;51943000000;33060000000;51150000000;1122000000;120542000000.0;;66281000000.0;44297000000.0;33510000000.0;111746000000;;162896000000;7657000000;;35.89;17.633731842041016
2012-09-29;57653000000;38542000000;57854000000;791000000;87527000000.0;;49866500000.0;30753500000.0;23294000000.0;118210000000;;176064000000;10930000000;;24.91;20.229393005371094
2012-12-29;72348000000;46879000000;68742000000;1455000000;54512000000.0;;33452000000.0;17210000000.0;13078000000.0;127346000000;0.0;196088000000;11598000000;;13.93;15.523579597473145
2013-03-30;63337000000;35508000000;59253000000;1245000000;98115000000.0;;60706000000.0;29768000000.0;22625000000.0;135490000000;0.0;194743000000;7084000000;;24.09;13.563291549682617
