timestamp;AssetsCurrent;LiabilitiesCurrent;Liabilities;Revenues;CostOfRevenue;OperatingIncomeLoss;NetIncomeLoss;StockholdersEquity;InterestExpense;Assets;AccountsReceivableNetCurrent;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;EarningsPerShareBasic;stock_price
2008-11-28;2735103000.0;762599000.0;1411244000.0;;;;;4410354000.0;;5821598000.0;467234000;;;23.15999984741211
2009-05-29;3087769000.0;613632000.0;1262704000.0;1491063000.0;149361000.0;369269000.0;282506000.0;4801041000.0;1412000.0;6063745000.0;262598000;;0.54;28.18000030517578
2009-08-28;2990934000.0;614383000.0;1267402000.0;2188570000.0;214408000.0;536871000.0;418551000.0;4694558000.0;1872000.0;5961960000.0;281807000;;0.79;31.729999542236328
2009-11-27;2473624000.0;844553000.0;2391669000.0;1523635000.0;151888000.0;356852000.0;272852500.0;4890568000.0;4783500.0;7282237000.0;410879000;;0.515;35.380001068115234
2010-03-05;3177219000.0;900774000.0;2773649000.0;858700000.0;89368000.0;176833000.0;127154000.0;5171420000.0;7695000.0;7945069000.0;350577000;;0.24;35.15999984741211
2010-06-04;3276071000.0;969908000.0;2828176000.0;1801735000.0;197201000.0;404118000.0;275765000.0;5178755000.0;23771000.0;8006931000.0;439151000;;0.53;31.59000015258789
2010-09-03;3236415000.0;967202000.0;2862171000.0;2792054000.0;296285000.0;706131000.0;505830000.0;5084858000.0;40166000.0;7947029000.0;484550000;;0.97;29.489999771118164
2010-12-03;3216050000.0;1068088000.0;2948761000.0;1909880000.0;201962000.0;504232500.0;370210500.0;5192387000.0;28593000.0;8141148000.0;554328000;;0.72;29.139999389648438
2011-03-04;3350798000.0;985532000.0;2884617000.0;1027706000.0;107639000.0;302334000.0;234591000.0;5425407000.0;17020000.0;8310024000.0;533353000;;0.47;35.27000045776367
2011-06-03;3389318000.0;1050379000.0;2950301000.0;2050885000.0;216840000.0;579058000.0;464027000.0;5389415000.0;33747000.0;8339716000.0;568570000;;0.92;33.27000045776367
2011-09-02;3469196000.0;1032259000.0;2928800000.0;3064097000.0;321494000.0;853168000.0;659128000.0;5563958000.0;50178000.0;8492758000.0;559320000;;1.32;24.149999618530273
2011-12-02;3771451000.0;1250779000.0;3208070000.0;2054658500.0;214879500.0;571073500.0;422168500.0;5783113000.0;33508000.0;8991183000.0;634373000;;0.845;27.110000610351562
2012-03-02;3505655000.0;1115022000.0;3146406000.0;1045220000.0;108265000.0;288979000.0;185209000.0;5986302000.0;16838000.0;9132708000.0;512211000;;0.37;33.72999954223633
2012-06-01;3770807000.0;1245644000.0;3266186000.0;2169669000.0;239183000.0;594122000.0;409085000.0;6099646000.0;33467000.0;9365832000.0;529391000;;0.83;29.81999969482422
