timestamp;AssetsCurrent;LiabilitiesCurrent;InventoryNet;SalesRevenueNet;CostOfGoodsAndServicesSold;CostsAndExpenses;OperatingIncomeLoss;NetIncomeLoss;StockholdersEquity;InterestExpense;Assets;AccountsReceivableNetCurrent;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;EarningsPerShareBasic;stock_price
2008-12-31;6157000000;4746000000;1399000000;;;;;;2672000000;;8314000000;827000000;;;2.563999891281128
2009-06-30;5304000000;3636000000;1325000000;9541000000.0;7260000000.0;;402000000.0;663000000.0;3256000000;19000000.0;7675000000;584000000;;0.74;4.183000087738037
2009-09-30;6369000000;4537000000;1617000000;14989000000.0;11435000000.0;;653000000.0;743000000.0;3585000000;26000000.0;8972000000;671000000;;1.2;4.668000221252441
2009-12-31;9797000000;7364000000;2171000000;11060000000.0;8468000000.0;;523500000.0;883500000.0;5257000000;16500000.0;13813000000;988000000;;0.935;6.72599983215332
2010-03-31;7964000000;5193000000;1820000000;7131000000.0;5501000000.0;6737000000.0;394000000.0;1024000000.0;5618000000;7000000.0;12042000000;815000000;;0.67;6.78849983215332
2010-06-30;8118000000;5250000000;1940000000;13697000000.0;10458000000.0;13032000000.0;665000000.0;1088000000.0;5857000000;16000000.0;12397000000;805000000;;1.13;5.4629998207092285
2010-09-30;9559000000;6375000000;2515000000;21257000000.0;16244000000.0;20325000000.0;932000000.0;1120000000.0;6397000000;28000000.0;14162000000;959000000;;1.65;7.853000164031982
2010-12-31;13747000000;10372000000;3202000000;15557000000.0;11926000000.0;14930000000.0;627000000.0;1087000000.0;6864000000;20000000.0;18797000000;1587000000;;1.045;9.0
2011-03-31;11288000000;7730000000;2888000000;9857000000.0;7608000000.0;9535000000.0;322000000.0;1054000000.0;7347000000;12000000.0;16882000000;1304000000;;0.44;9.006500244140625
2011-06-30;11279000000;8045000000;3229000000;19770000000.0;15133000000.0;19247000000.0;523000000.0;1038000000.0;7765000000;27000000.0;17941000000;1438000000;;0.87;10.224499702453613
2011-09-30;11904000000;8978000000;3770000000;30646000000.0;23457000000.0;30044000000.0;602000000.0;871000000.0;7766000000;45000000.0;19054000000;1496000000;;1.0;10.81149959564209
2011-12-31;17490000000;14896000000;4992000000;21915500000.0;16742000000.0;21518500000.0;397000000.0;716000000.0;7757000000;33000000.0;25278000000;2571000000;;0.645;8.654999732971191
2012-03-31;12154000000;10488000000;4255000000;13185000000.0;10027000000.0;12993000000.0;192000000.0;561000000.0;7271000000;21000000.0;20339000000;1813000000;;0.29;10.125499725341797
2012-06-30;11793000000;10964000000;4380000000;26019000000.0;19515000000.0;25721000000.0;298000000.0;377000000.0;7505000000;42000000.0;21022000000;2035000000;;0.3;11.417499542236328
2012-09-30;13118000000;12605000000;5065000000;39825000000.0;29834000000.0;39554000000.0;271000000.0;40000000.0;7553000000;65000000.0;22834000000;2392000000;;-0.3;12.715999603271484
2012-12-31;21296000000;19002000000;6031000000;27947500000.0;20817500000.0;27721500000.0;226000000.0;-23500000.0;8192000000;49000000.0;32555000000;3364000000;;-0.06;12.543499946594238
2013-03-31;16313000000;14332000000;5395000000;16070000000.0;11801000000.0;15889000000.0;181000000.0;-87000000.0;8432000000;33000000.0;28377000000;2516000000;;0.18;13.32450008392334
2013-06-30;16285000000;14735000000;5420000000;31774000000.0;23010000000.0;31514000000.0;260000000.0;-101000000.0;8733000000;66000000.0;29623000000;2861000000;;0.16;13.884499549865723
2013-09-30;17334000000;16135000000;6068000000;48865000000.0;35375000000.0;48630000000.0;235000000.0;132000000.0;9087000000;102000000.0;31861000000;3057000000;;0.08;15.631999969482422
2013-12-31;24625000000;22980000000;7411000000;34303000000.0;24715000000.0;34112500000.0;190500000.0;215500000.0;9746000000;72000000.0;40159000000;4767000000;;0.15500000000000003;19.93950080871582
2014-03-31;19327000000;18357000000;6716000000;19741000000.0;14055000000.0;19595000000.0;146000000.0;299000000.0;10328000000;42000000.0;36364000000;3945000000;;0.23;16.818500518798828
2014-06-30;18755000000;18751000000;6644000000;39081000000.0;27453000000.0;38949000000.0;132000000.0;181000000.0;10602000000;87000000.0;37898000000;4125000000;;-0.04;16.23900032043457
2014-09-30;18572000000;20842000000;7316000000;59659000000.0;42080000000.0;60071000000.0;-412000000.0;-216000000.0;10336000000;136000000.0;40419000000;4373000000;;-0.99;16.121999740600586
2014-12-31;31327000000;28089000000;8299000000;41188000000.0;28737500000.0;41266500000.0;-78500000.0;-310500000.0;10741000000;125500000.0;54505000000;5612000000;;-0.5549999999999999;15.517499923706055
2015-03-31;25922000000;23177000000;7369000000;22717000000.0;15395000000.0;22462000000.0;255000000.0;-405000000.0;10873000000;115000000.0;50075000000;4772000000;;-0.12;18.604999542236328
2015-06-30;26391000000;23912000000;7470000000;45901000000.0;30555000000.0;45182000000.0;719000000.0;-188000000.0;11768000000;228000000.0;52440000000;4920000000;;0.07;21.704500198364258
2015-09-30;28849000000;26657000000;8981000000;71259000000.0;47310000000.0;70135000000.0;1124000000.0;328000000.0;12430000000;344000000.0;56230000000;5440000000;;0.24;25.594499588012695
2015-12-31;35705000000;33887000000;10243000000;50193500000.0;33088000000.0;49096000000.0;1097500000.0;747000000.0;13384000000;230500000.0;64747000000;5654000000;;0.665;33.794498443603516
2016-03-31;30513000000;28187000000;9582000000;29128000000.0;18866000000.0;28057000000.0;1071000000.0;1166000000.0;14756000000;117000000.0;61128000000;5072000000;12781000000.0;1.09;29.68199920654297
2016-06-30;32220000000;29587000000;9588000000;59532000000.0;38047000000.0;57176000000.0;2356000000.0;1931000000.0;16538000000;233000000.0;65076000000;6092000000;12977000000.0;2.9;35.78099822998047
2016-09-30;35609000000;33498000000;10696000000;92246000000.0;59306000000.0;89315000000.0;2931000000.0;2105000000.0;17782000000;351000000.0;70897000000;6566000000;14124000000.0;3.43;41.865501403808594
2016-12-31;45781000000;43816000000;11461000000;63980000000.0;40873000000.0;62012000000.0;1968000000.0;2344000000.0;19285000000;245000000.0;83402000000;8339000000;19934000000.0;2.475;37.493499755859375
2017-03-31;39460000000;37399000000;10600000000;35714000000.0;22440000000.0;34709000000.0;1005000000.0;2583000000.0;21674000000;139000000.0;80969000000;7329000000;16301000000.0;1.52;44.32699966430664
2017-06-30;41007000000;40520000000;11510000000;73669000000.0;45891000000.0;72037000000.0;1632000000.0;1922000000.0;23214000000;282000000.0;87781000000;8046000000;13851000000.0;1.93;48.400001525878906
2017-09-30;48578000000;47072000000;13711000000;117413000000.0;73439000000.0;115434000000.0;1979000000.0;1926000000.0;24658000000;510000000.0;115267000000;10557000000;13960000000.0;2.46;48.067501068115234
2017-12-31;60197000000;57883000000;16047000000;84227500000.0;52087000000.0;82274500000.0;1953000000.0;2932000000.0;27709000000;420000000.0;131310000000;13164000000;21856000000.0;2.91;58.4734992980957
2018-03-31;50829000000;48045000000;13840000000;51042000000.0;30735000000.0;49115000000.0;1927000000.0;3938000000.0;31463000000;330000000.0;126362000000;12026000000;17616000000.0;3.36;72.36699676513672
2018-06-30;54481000000;50801000000;14824000000;103928000000.0;61367000000.0;99017000000.0;4911000000.0;6275000000.0;34995000000;673000000.0;134100000000;12607000000;20536000000.0;8.58;84.98999786376953
2018-09-30;59885000000;55324000000;15862000000;103928000000.0;94370000000.0;151869000000.0;8635000000.0;8902000000.0;39125000000;1030000000.0;143695000000;14258000000;21032000000.0;14.49;100.1500015258789
2018-12-31;75101000000;68391000000;17174000000;103928000000.0;64145000000.0;103574500000.0;6527500000.0;10453500000.0;43549000000;698000000.0;162648000000;16677000000;32173000000.0;10.865;75.09850311279297
