timestamp;AssetsCurrent;LiabilitiesCurrent;InventoryNet;SalesRevenueNet;CostOfGoodsAndServicesSold;OperatingIncomeLoss;NetIncomeLoss;StockholdersEquity;InterestExpense;Assets;AccountsReceivableNetCurrent;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;EarningsPerShareBasic;stock_price
2008-12-27;19871000000;7818000000;3744000000;;;;;39546000000;;50472000000;1712000000;;;8.934632301330566
2009-06-27;18467000000;7079000000;2805000000;15169000000.0;7852000000.0;635000000.0;231000000.0;39047000000;;49061000000;1938000000;;0.04;10.457735061645508
2009-09-26;19247000000;7749000000;2490000000;24558000000.0;11837000000.0;3214000000.0;2087000000.0;39033000000;;50996000000;2025000000;;0.37;12.525775909423828
2009-12-26;21157000000;7591000000;2935000000;17428500000.0;7803500000.0;3331000000.0;2264500000.0;41704000000;;53095000000;2273000000;;0.405;13.246813774108887
2010-03-27;23724000000;8912000000;2986000000;10299000000.0;3770000000.0;3448000000.0;2442000000.0;42900000000;;55773000000;2192000000;;0.44;14.607268333435059
2010-06-26;26464000000;7937000000;3345000000;21064000000.0;7300000000.0;7429000000.0;5329000000.0;45841000000;;57691000000;2430000000;;0.96;13.248520851135254
2010-09-25;29499000000;8837000000;3423000000;32166000000.0;11081000000.0;11565000000.0;8284000000.0;47696000000;;60588000000;2911000000;;1.49;12.943036079406738
2010-12-25;31611000000;9327000000;3757000000;22506500000.0;8021500000.0;7861500000.0;5722000000.0;49430000000;;63186000000;2867000000;;1.035;13.998175621032715
2011-04-02;22795000000;11565000000;4099000000;12847000000.0;4962000000.0;4158000000.0;3160000000.0;47349000000;6000000.0;65552000000;3542000000;;0.58;13.358016014099121
2011-07-02;23102000000;10354000000;4030000000;25879000000.0;10092000000.0;8093000000.0;6114000000.0;48723000000;6000000.0;66089000000;3359000000;;1.14;15.381311416625977
2011-10-01;26698000000;11909000000;3959000000;40112000000.0;15307000000.0;12878000000.0;9582000000.0;46117000000;6000000.0;70551000000;3821000000;;1.8;14.711127281188965
2011-12-31;25872000000;12028000000;4096000000;26509000000.0;9974000000.0;8344000000.0;6160000000.0;45911000000;18500000.0;71119000000;3650000000;;1.175;16.865699768066406
2012-03-31;25421000000;11941000000;4489000000;12906000000.0;4641000000.0;3810000000.0;2738000000.0;46760000000;31000000.0;71817000000;4037000000;;0.55;19.713533401489258
2012-06-30;25785000000;10538000000;4904000000;26407000000.0;9588000000.0;7642000000.0;5565000000.0;48779000000;52000000.0;72352000000;3544000000;;1.11;18.81842041015625
2012-09-29;23014000000;11953000000;5319000000;39864000000.0;14530000000.0;11483000000.0;8537000000.0;49269000000;66000000.0;74441000000;3938000000;;1.71;16.141122817993164
2012-12-29;31358000000;12898000000;4734000000;26222000000.0;10022000000.0;7001000000.0;5291000000.0;51203000000;69500000.0;84351000000;3833000000;;1.06;14.558677673339844
2013-03-30;28677000000;11798000000;4358000000;12580000000.0;5514000000.0;2519000000.0;2045000000.0;51194000000;73000000.0;83083000000;3536000000;;0.41;15.886249542236328
2013-06-29;29048000000;11389000000;4542000000;25391000000.0;10855000000.0;5238000000.0;4045000000.0;53840000000;133000000.0;85661000000;3474000000;;0.82;17.79074478149414
2013-09-28;31350000000;13875000000;4533000000;38874000000.0;15924000000.0;8742000000.0;6995000000.0;55452000000;189000000.0;90551000000;3719000000;;1.41;17.03803825378418
2013-12-28;32084000000;13568000000;4172000000;25819000000.0;10537500000.0;5626000000.0;4462500000.0;58256000000;113000000.0;92358000000;3582000000;;0.8999999999999999;19.15826416015625
2014-03-29;30554000000;13552000000;3763000000;12764000000.0;5151000000.0;2510000000.0;1930000000.0;58038000000;37000000.0;91932000000;3505000000;;0.39;19.35607147216797
2014-06-28;29006000000;12251000000;3943000000;26595000000.0;10065000000.0;6354000000.0;4726000000.0;59247000000;86000000.0;91793000000;3489000000;;0.95;23.568603515625
2014-09-27;27509000000;14904000000;4115000000;41149000000.0;15161000000.0;10894000000.0;8043000000.0;56073000000;139000000.0;90616000000;3647000000;;1.63;26.279705047607422
2014-12-27;27730000000;16019000000;4273000000;26965000000.0;10106000000.0;6754500000.0;5017500000.0;55865000000;90500000.0;91956000000;4427000000;;1.025;28.992204666137695
2015-03-28;26466000000;15035000000;4418000000;12781000000.0;5051000000.0;2615000000.0;1992000000.0;54924000000;42000000.0;89566000000;3246000000;;0.42;24.88429832458496
2015-06-27;26710000000;13529000000;4818000000;25976000000.0;9998000000.0;5511000000.0;4698000000.0;57695000000;95000000.0;90492000000;3860000000;;0.99;24.296648025512695
2015-09-26;36205000000;15080000000;4965000000;40441000000.0;15352000000.0;9703000000.0;7807000000.0;57097000000;211000000.0;98552000000;4101000000;;1.64;22.753110885620117
2015-12-26;38320000000;15646000000;5167000000;27071500000.0;10462000000.0;6135500000.0;4926500000.0;61085000000;209500000.0;101459000000;4787000000;;1.035;27.82056427001953
2016-04-02;27397000000;17526000000;5751000000;13702000000.0;5572000000.0;2568000000.0;2046000000.0;61174000000;208000000.0;105467000000;4216000000;;0.43;26.035539627075195
2016-07-02;31188000000;18711000000;5800000000;27235000000.0;11132000000.0;3886000000.0;3376000000.0;61367000000;395000000.0;109831000000;4426000000;;0.71;26.50320816040039
2016-10-01;36216000000;20093000000;5783000000;43013000000.0;16927000000.0;8348000000.0;6754000000.0;63115000000;575000000.0;112217000000;4952000000;;1.43;30.781064987182617
2016-12-31;35508000000;20302000000;5553000000;28904500000.0;11288000000.0;5973500000.0;4859000000.0;66226000000;360500000.0;113327000000;4690000000;;1.03;29.79819679260254
2017-04-01;36058000000;21305000000;5801000000;14796000000.0;5649000000.0;3599000000.0;2964000000.0;66844000000;146000000.0;115648000000;4921000000;;0.63;29.845447540283203
2017-07-01;40617000000;18782000000;6324000000;29559000000.0;11314000000.0;7426000000.0;5772000000.0;68625000000;302000000.0;122107000000;5397000000;;1.22;28.125221252441406
2017-09-30;33154000000;20689000000;6929000000;45708000000.0;17406000000.0;12541000000.0;10288000000.0;70936000000;493000000.0;127088000000;5954000000;;2.19;31.98127555847168
2017-12-30;29500000000;17421000000;6983000000;30887000000.0;11870500000.0;8505500000.0;7371000000.0;69019000000;302500000.0;123249000000;5607000000;;1.5699999999999998;38.99695587158203
2018-03-31;31630000000;19961000000;7146000000;16066000000.0;6335000000.0;4470000000.0;4454000000.0;70165000000;112000000.0;128596000000;4879000000;;0.95;44.29679489135742
2018-06-30;27603000000;17571000000;7344000000;33028000000.0;12878000000.0;9743000000.0;9460000000.0;70047000000;228000000.0;125972000000;4636000000;;2.03;42.52500534057617
2018-09-29;29590000000;19574000000;7401000000;33028000000.0;19681000000.0;17092000000.0;15858000000.0;71483000000;337000000.0;128242000000;5457000000;;3.42;40.700809478759766
2018-12-29;28787000000;16626000000;7253000000;33028000000.0;13326500000.0;10633000000.0;9916000000.0;74563000000;237500000.0;127963000000;6722000000;;2.15;40.48926544189453
2019-03-30;29060000000;18911000000;7765000000;33028000000.0;6972000000.0;4174000000.0;3974000000.0;73661000000;138000000.0;129458000000;6957000000;;0.88;46.80332946777344
2019-06-29;29239000000;19705000000;8696000000;33028000000.0;13599000000.0;8791000000.0;8153000000.0;74947000000;273000000.0;130759000000;6233000000;;1.82;41.97758865356445
2019-09-28;29957000000;25064000000;8638000000;33028000000.0;21494000000.0;15238000000.0;14143000000.0;74242000000;381000000.0;133768000000;6880000000;;3.18;44.830039978027344
2019-12-28;31239000000;22310000000;8744000000;33028000000.0;14653000000.0;11138000000.0;9902000000.0;77504000000;258000000.0;136524000000;7659000000;;2.255;53.33226013183594
2020-03-28;41501000000;23895000000;9246000000;33028000000.0;7812000000.0;7038000000.0;5661000000.0;76354000000;135000000.0;147710000000;8455000000;;1.33;46.717132568359375
2020-06-27;44390000000;22481000000;8969000000;33028000000.0;17033000000.0;12735000000.0;10766000000.0;82010000000;321000000.0;152539000000;7441000000;;2.53;51.5831298828125
2020-09-26;36785000000;22112000000;9273000000;33028000000.0;25625000000.0;17794000000.0;15042000000.0;74554000000;481000000.0;145261000000;7140000000;;3.55;45.105342864990234
2020-12-26;47249000000;24754000000;8427000000;33028000000.0;17222000000.0;10744000000.0;9201500000.0;81038000000;335500000.0;153091000000;6782000000;5865000000.0;2.19;42.82240676879883
2021-03-27;45773000000;24151000000;8487000000;33028000000.0;8819000000.0;3694000000.0;3361000000.0;79807000000;190000000.0;150622000000;7208000000;5192000000.0;0.83;59.374351501464844
2021-06-26;49372000000;24836000000;8817000000;33028000000.0;17244000000.0;9240000000.0;8422000000.0;85207000000;319000000.0;154597000000;7460000000;4746000000.0;2.08;51.48861312866211
2021-09-25;61304000000;29572000000;9798000000;33028000000.0;25690000000.0;14467000000.0;15245000000.0;90087000000;463000000.0;167962000000;8400000000;7870000000.0;3.76;50.256736755371094
2021-12-25;58558000000;27462000000;10776000000;33028000000.0;17399500000.0;9404000000.0;11679000000.0;95391000000;293500000.0;168406000000;9457000000;4827000000.0;2.875;47.89018249511719
2022-04-02;62568000000;29322000000;11935000000;33028000000.0;9109000000.0;4341000000.0;8113000000.0;103136000000;124000000.0;176356000000;7074000000;6215000000.0;1.99;45.24551773071289
2022-07-02;50588000000;27218000000;12174000000;33028000000.0;18843000000.0;3641000000.0;7659000000.0;101218000000;233000000.0;170418000000;6063000000;4390000000.0;1.87;34.44646072387695
2022-10-01;49263000000;27813000000;12831000000;33028000000.0;27646000000.0;3466000000.0;8678000000.0;99885000000;347000000.0;174841000000;7469000000;4529000000.0;2.11;24.673830032348633
2022-12-31;50407000000;32155000000;13224000000;33028000000.0;17676500000.0;999000000.0;2960000000.0;101423000000;270000000.0;182103000000;4133000000;11144000000.0;0.7249999999999999;25.647533416748047
2023-04-01;48314000000;27393000000;12993000000;33028000000.0;7707000000.0;-1468000000.0;-2758000000.0;98059000000;193000000.0;185303000000;3847000000;8232000000.0;-0.66;32.089088439941406
2023-07-01;43356000000;27180000000;11984000000;33028000000.0;16018000000.0;-2484000000.0;-1277000000.0;101017000000;407000000.0;185629000000;2996000000;8349000000.0;-0.31;32.97990036010742
2023-09-30;43811000000;28614000000;11466000000;33028000000.0;24158000000.0;-2492000000.0;-980000000.0;101813000000;611000000.0;188837000000;2843000000;7621000000.0;-0.23;35.187007904052734
2023-12-30;43269000000;28053000000;11127000000;33028000000.0;15832500000.0;-1780500000.0;-680500000.0;105590000000;434500000.0;191572000000;3402000000;7079000000.0;-0.16;49.900455474853516
2024-03-30;42608000000;27213000000;11494000000;33028000000.0;7507000000.0;-1069000000.0;-381000000.0;105973000000;258000000.0;192733000000;3323000000;6923000000.0;-0.09;43.99131774902344
