timestamp;AssetsCurrent;LiabilitiesCurrent;Liabilities;Revenues;CostOfRevenue;CostsAndExpenses;OperatingIncomeLoss;NetIncomeLoss;StockholdersEquity;InterestExpense;Assets;AccountsReceivableNetCurrent;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;EarningsPerShareBasic;stock_price
2011-12-31;4604000000;899000000;1432000000;;;;;;4899000000;;6331000000;547000000;;;
2012-06-30;11967000000;1034000000;1619000000;2242000000.0;644000000.0;2604000000.0;-362000000.0;48000000.0;13309000000;24000000.0;14928000000;578000000;;0.02;31.036222457885742
2012-09-30;12285000000;1080000000;1864000000;3504000000.0;967000000.0;3489000000.0;15000000.0;-11000000.0;14174000000;35000000.0;16038000000;635000000;;0.01;21.615581512451172
2012-12-31;11267000000;1052000000;3348000000;2481000000.0;690000000.0;2287000000.0;194000000.0;104000000.0;11755000000;25000000.0;15103000000;719000000;;0.05;26.565410614013672
2013-03-31;11042000000;1063000000;3339000000;1458000000.0;413000000.0;1085000000.0;373000000.0;219000000.0;11824000000;15000000.0;15163000000;659000000;;0.09;25.527544021606445
2013-06-30;11421000000;1080000000;3375000000;3271000000.0;878000000.0;2336000000.0;935000000.0;552000000.0;12349000000;29000000.0;15724000000;775000000;;0.23;24.828975677490234
2013-09-30;10549000000;984000000;1885000000;5286000000.0;1384000000.0;3614000000.0;1672000000.0;977000000.0;13048000000;50000000.0;14933000000;872000000;;0.4;50.126991271972656
2013-12-31;13070000000;1100000000;2425000000;3894000000.0;923000000.0;2520500000.0;1373500000.0;809500000.0;15470000000;50000000.0;17895000000;1109000000;;0.325;54.53792953491211
2014-03-31;14060000000;1037000000;2291000000;2502000000.0;462000000.0;1427000000.0;1075000000.0;642000000.0;16737000000;50000000.0;19028000000;1006000000;;0.25;60.1164665222168
2014-06-30;15557000000;1214000000;2423000000;5412000000.0;936000000.0;2948000000.0;2464000000.0;1433000000.0;18346000000;50000000.0;20769000000;1190000000;;0.56;67.15200805664062
2014-09-30;16115000000;1234000000;2950000000;8615000000.0;1501000000.0;4754000000.0;3861000000.0;2239000000.0;21238000000;50000000.0;24188000000;1363000000;;0.87;78.87791442871094
2014-12-31;13670000000;1424000000;4088000000;6079000000.0;1077500000.0;3682000000.0;2397000000.0;1375500000.0;36096000000;50000000.0;40184000000;1678000000;;0.525;77.86000061035156
