timestamp;AssetsCurrent;LiabilitiesCurrent;Liabilities;InventoryNet;SalesRevenueNet;Revenues;CostOfGoodsAndServicesSold;CostOfRevenue;CostsAndExpenses;OperatingIncomeLoss;NetIncomeLoss;StockholdersEquity;InterestExpense;Assets;AccountsReceivableNetCurrent;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;EarningsPerShareBasic;stock_price
2008-09-30;;;;;;15061000000.0;;2848000000.0;9062000000.0;5999000000.0;4373000000.0;33594000000;;;;;0.48;19.57525062561035
2008-12-31;;;;;;31690000000.0;;6755000000.0;19752000000.0;11938000000.0;8547000000.0;34478000000;;;;;0.95;14.354467391967773
2009-03-31;;;;;;45338000000.0;;9569000000.0;28962000000.0;16376000000.0;11524000000.0;36943000000;;;;;1.29;13.657389640808105
2009-06-30;49280000000.0;27034000000.0;;717000000.0;;29129000000.0;;6205500000.0;18700000000.0;10429000000.0;7549000000.0;39558000000;;77888000000.0;11192000000.0;;0.845;17.7843074798584
2009-09-30;52231000000.0;28761000000.0;;1150000000.0;;12920000000.0;;2842000000.0;8438000000.0;4482000000.0;3574000000.0;41212000000;38000000.0;81612000000.0;8587000000.0;;0.4;19.351472854614258
2009-12-31;52487000000.0;25715000000.0;;589000000.0;;31942000000.0;;6470000000.0;18947000000.0;12995000000.0;10236000000.0;44283000000;76000000.0;82096000000.0;11196000000.0;;1.15;23.03421974182129
2010-03-31;54518000000.0;26424000000.0;;501000000.0;46445000000.0;46445000000.0;;9225000000.0;28277000000.0;18168000000.0;14242000000.0;45710000000;114000000.0;84910000000.0;9137000000.0;;1.61;22.238426208496094
2010-06-30;55676000000.0;26147000000.0;39938000000.0;740000000.0;31320000000.0;31320000000.0;;6182000000.0;18678000000.0;12642000000.0;9826000000.0;46175000000;79500000.0;86113000000.0;13014000000.0;;1.12;17.54916763305664
2010-09-30;59581000000.0;25857000000.0;44598000000.0;1242000000.0;16195000000.0;16195000000.0;;3139000000.0;9079000000.0;7116000000.0;5410000000.0;46942000000;45000000.0;91540000000.0;9646000000.0;;0.63;18.777557373046875
2010-12-31;59684000000.0;24312000000.0;43825000000.0;861000000.0;34385500000.0;36148000000.0;;7972000000.0;20867000000.0;15281000000.0;12044000000.0;48481000000;117000000.0;92306000000.0;12874000000.0;;1.41;21.53131675720215
2011-03-31;66263000000.0;24042000000.0;46275000000.0;1056000000.0;52576000000.0;36148000000.0;;11869000000.0;31586000000.0;20990000000.0;17276000000.0;53452000000;201000000.0;99727000000.0;10033000000.0;;2.03;19.703022003173828
2011-06-30;74918000000.0;28774000000.0;51621000000.0;1372000000.0;34974000000.0;36148000000.0;;7823000000.0;20877500000.0;14096500000.0;11507000000.0;57083000000;147500000.0;108704000000.0;14987000000.0;;1.355;20.308637619018555
2011-09-30;75271000000.0;25543000000.0;48024000000.0;2270000000.0;17372000000.0;36148000000.0;;3777000000.0;10169000000.0;7203000000.0;5738000000.0;59391000000;94000000.0;107415000000.0;10153000000.0;;0.68;19.5643253326416
