timestamp;AssetsCurrent;LiabilitiesCurrent;Liabilities;InventoryNet;Revenues;CostOfGoodsAndServicesSold;CostOfRevenue;OperatingIncomeLoss;NetIncomeLoss;StockholdersEquity;InterestExpense;Assets;AccountsReceivableNetCurrent;CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents;EarningsPerShareBasic;stock_price
2009-01-25;2167958000;778591000;;537834000;;;;;;2394652000;;3350727000;318435000;;;0.17679545283317566
2009-07-26;2167905000;891321000;;279216000;1440751000.0;;1094332000.0;-341072000.0;-306640000.0;2247409000;;3298409000;351960000;;-0.56;0.29718148708343506
2009-10-25;2357716000;888806000;;277643000;2343957000.0;;1605755000.0;-233227000.0;-199063000.0;2423635000;;3463574000;397820000;;-0.36;0.3015383183956146
2010-01-31;2480830000;784378000;;330674000;1672885000.0;;1075595500.0;-42917000.0;-30734500.0;2665140000;;3585918000;374963000;;-0.06;0.35290294885635376
2010-05-02;2726980000;765293000;;388139000;1001813000.0;;545436000.0;147393000.0;137594000.0;2860645000;;3803030000;529663000;;0.24;0.36024075746536255
2010-08-01;2655962000;819139000;;434227000;1813021000.0;;1222352000.0;-27814000.0;-3367000.0;2760514000;;3731268000;395934000;;-0.01;0.21073289215564728
2010-10-31;2807702000;816489000;;377812000;2656933000.0;;1674202000.0;75969000.0;81495000.0;2897880000;;3915579000;399502000;;0.14;0.27562665939331055
2011-01-30;3226950000;942682000;;345525000;1809486000.0;;1075869000.0;115415500.0;108357000.0;3181462000;;4495246000;348770000;;0.185;0.5448328256607056
2011-05-01;3496763000;981166000;;380964000;962039000.0;;477536000.0;154862000.0;135219000.0;3447808000;;4736744000;343202000;;0.23;0.45861348509788513
2011-07-31;3317557000;960299000;;361911000;1978556000.0;;968769000.0;328892000.0;286792000.0;3689469000;;4864424000;419944000;;0.48;0.3171311616897583
2011-10-30;3500071000;886684000;;319602000;3044736000.0;;1478232000.0;525982000.0;465065000.0;3973450000;;5089043000;371261000;;0.77;0.35771849751472473
2012-01-29;3905358000;929958000;;340297000;1984806500.0;;969872500.0;299404000.0;262751000.0;4145724000;;5552928000;336143000;;0.435;0.34189629554748535
2012-04-29;4032116000;947404000;;342707000;924877000.0;;461513000.0;72826000.0;60437000.0;4287428000;;5708167000;411155000;;0.1;0.2976401150226593
2012-07-29;4213851000;1021960000;;387185000;1969147000.0;;965064000.0;212449000.0;179483000.0;4453665000;;5891881000;445312000;;0.29;0.3091055154800415
2012-10-28;4424827000;991359000;;428983000;3173257000.0;;1532516000.0;464666000.0;388563000.0;4722846000;;6075144000;444944000;;0.63;0.2763145864009857
2013-01-27;4775258000;976223000;;419686000;2063998000.0;;984343500.0;273723500.0;233227000.0;4827703000;;6412245000;454252000;;0.38;0.2864055931568146
2013-04-28;4606616000;925577000;;377597000;954739000.0;;436171000.0;82781000.0;77891000.0;4824936000;853000.0;6279527000;346998000;;0.13;0.31138285994529724
2013-07-28;3922608000;935791000;;378280000;1931977000.0;;867871000.0;188315000.0;174339000.0;4172173000;1689000.0;5569592000;418123000;;0.29;0.3314017355442047
2013-10-27;4049841000;985927000;;380319000;2985944000.0;;1337423000.0;329303000.0;293073000.0;4320647000;2508000.0;5711373000;447631000;;0.49;0.3574667274951935
2014-01-26;5624711000;945496000;;387765000;2044365500.0;;918004000.0;240331000.0;214794500.0;4456398000;6989500.0;7250894000;426357000;;0.365;0.36694902181625366
2014-04-27;5273798000;897945000;;393280000;1102787000.0;;498585000.0;151359000.0;136516000.0;4166985000;11471000.0;6864663000;396438000;;0.24;0.44370123744010925
